# Two independent message exchanges: P1<->P2 and P3<->P4
# system_processes: P1|P2|P3|P4
eid,processes,vc,timestamp,props,event_type,msg_partner
i1,P1,P1:1;P2:0;P3:0;P4:0,0.0,idle,local,
i2,P2,P1:0;P2:1;P3:0;P4:0,0.0,idle,local,
i3,P3,P1:0;P2:0;P3:1;P4:0,0.0,idle,local,
i4,P4,P1:0;P2:0;P3:0;P4:1,0.0,idle,local,
p1_s,P1,P1:2;P2:0;P3:0;P4:0,1.0,req_a,send,P2
p3_s,P3,P1:0;P2:0;P3:2;P4:0,1.0,req_b,send,P4
p2_r,P2,P1:2;P2:2;P3:0;P4:0,2.0,got_a,receive,P1
p4_r,P4,P1:0;P2:0;P3:2;P4:2,2.0,got_b,receive,P3
p2_s,P2,P1:2;P2:3;P3:0;P4:0,3.0,resp_a,send,P1
p4_s,P4,P1:0;P2:0;P3:2;P4:3,3.0,resp_b,send,P3
p1_r,P1,P1:3;P2:3;P3:0;P4:0,4.0,done_a,receive,P2
p3_r,P3,P1:0;P2:0;P3:3;P4:3,4.0,done_b,receive,P4
