# Large trace: 50 events on a single process
# system_processes: P1
eid,processes,vc,timestamp,props,event_type,msg_partner
e00,P1,P1:1,0.0,start,local,
e01,P1,P1:2,0.5,odd,local,
e02,P1,P1:3,1.0,even,local,
e03,P1,P1:4,1.5,odd,local,
e04,P1,P1:5,2.0,even,local,
e05,P1,P1:6,2.5,odd,local,
e06,P1,P1:7,3.0,even,local,
e07,P1,P1:8,3.5,odd,local,
e08,P1,P1:9,4.0,even,local,
e09,P1,P1:10,4.5,odd,local,
e10,P1,P1:11,5.0,checkpoint,local,
e11,P1,P1:12,5.5,odd,local,
e12,P1,P1:13,6.0,even,local,
e13,P1,P1:14,6.5,odd,local,
e14,P1,P1:15,7.0,even,local,
e15,P1,P1:16,7.5,odd,local,
e16,P1,P1:17,8.0,even,local,
e17,P1,P1:18,8.5,odd,local,
e18,P1,P1:19,9.0,even,local,
e19,P1,P1:20,9.5,odd,local,
e20,P1,P1:21,10.0,checkpoint,local,
e21,P1,P1:22,10.5,odd,local,
e22,P1,P1:23,11.0,even,local,
e23,P1,P1:24,11.5,odd,local,
e24,P1,P1:25,12.0,even,local,
e25,P1,P1:26,12.5,odd,local,
e26,P1,P1:27,13.0,even,local,
e27,P1,P1:28,13.5,odd,local,
e28,P1,P1:29,14.0,even,local,
e29,P1,P1:30,14.5,odd,local,
e30,P1,P1:31,15.0,checkpoint,local,
e31,P1,P1:32,15.5,odd,local,
e32,P1,P1:33,16.0,even,local,
e33,P1,P1:34,16.5,odd,local,
e34,P1,P1:35,17.0,even,local,
e35,P1,P1:36,17.5,odd,local,
e36,P1,P1:37,18.0,even,local,
e37,P1,P1:38,18.5,odd,local,
e38,P1,P1:39,19.0,even,local,
e39,P1,P1:40,19.5,odd,local,
e40,P1,P1:41,20.0,checkpoint,local,
e41,P1,P1:42,20.5,odd,local,
e42,P1,P1:43,21.0,even,local,
e43,P1,P1:44,21.5,odd,local,
e44,P1,P1:45,22.0,even,local,
e45,P1,P1:46,22.5,odd,local,
e46,P1,P1:47,23.0,even,local,
e47,P1,P1:48,23.5,odd,local,
e48,P1,P1:49,24.0,even,local,
e49,P1,P1:50,24.5,end,local,
