# Two-Phase Commit: 1 Coordinator + 3 Participants, 30 transactions + partial
# total_events: 1000
# process_count: 4
# system_processes: C|P1|P2|P3
# Per-transaction ε-sensitive cluster (on different processes, VC-concurrent):
#   vote_yes_P2 t+2.50 | vote_yes_P1 t+2.70 | prepared_P1 t+2.75
#   prepared_P2 t+2.80 | vote_yes_P3 t+3.00 | prepared_P3 t+3.05
# The critical gap: Δ(prepared_P3, prepared_P2) = 0.25
# Property: TRUE S (prepared_P3 & @vote_yes_P2)
#   SAT  when ε >= 0.25  (linearization exists: prepared_P3 before prepared_P2)
#   VIOL when ε <  0.25  (prepared_P2 forced ≺ prepared_P3; P2's label overwritten)
eid,processes,vc,timestamp,props,event_type,msg_partner
iota_C,C,C:1;P1:0;P2:0;P3:0,0.00,init,local,
iota_P1,P1,C:0;P1:1;P2:0;P3:0,0.00,init,local,
iota_P2,P2,C:0;P1:0;P2:1;P3:0,0.00,init,local,
iota_P3,P3,C:0;P1:0;P2:0;P3:1,0.00,init,local,
begin_tx_01,C,C:2;P1:0;P2:0;P3:0,1.00,,local,
prepare_P1_01,C,C:3;P1:0;P2:0;P3:0,1.10,,send,P1
prepare_P2_01,C,C:4;P1:0;P2:0;P3:0,1.20,,send,P2
prepare_P3_01,C,C:5;P1:0;P2:0;P3:0,1.30,,send,P3
recv_prep_P1_01,P1,C:3;P1:2;P2:0;P3:0,2.00,,receive,C
recv_prep_P2_01,P2,C:4;P1:0;P2:2;P3:0,2.10,,receive,C
recv_prep_P3_01,P3,C:5;P1:0;P2:0;P3:2,2.20,,receive,C
vote_yes_P2_01,P2,C:4;P1:0;P2:3;P3:0,2.50,vote_yes_P2,local,
vote_yes_P1_01,P1,C:3;P1:3;P2:0;P3:0,2.70,vote_yes_P1,local,
prepared_P1_01,P1,C:3;P1:4;P2:0;P3:0,2.75,prepared_P1,local,
prepared_P2_01,P2,C:4;P1:0;P2:4;P3:0,2.80,prepared_P2,local,
vote_yes_P3_01,P3,C:5;P1:0;P2:0;P3:3,3.00,vote_yes_P3,local,
prepared_P3_01,P3,C:5;P1:0;P2:0;P3:4,3.05,prepared_P3,local,
send_yes_P1_01,P1,C:3;P1:5;P2:0;P3:0,3.30,,send,C
send_yes_P2_01,P2,C:4;P1:0;P2:5;P3:0,3.40,,send,C
send_yes_P3_01,P3,C:5;P1:0;P2:0;P3:5,3.50,,send,C
recv_yes_P1_01,C,C:6;P1:5;P2:0;P3:0,4.00,,receive,P1
recv_yes_P2_01,C,C:7;P1:5;P2:5;P3:0,4.10,,receive,P2
recv_yes_P3_01,C,C:8;P1:5;P2:5;P3:5,4.20,,receive,P3
decide_commit_01,C,C:9;P1:5;P2:5;P3:5,4.50,committed,local,
commit_cmd_P1_01,C,C:10;P1:5;P2:5;P3:5,4.70,,send,P1
commit_cmd_P2_01,C,C:11;P1:5;P2:5;P3:5,4.80,,send,P2
commit_cmd_P3_01,C,C:12;P1:5;P2:5;P3:5,4.90,,send,P3
recv_commit_P1_01,P1,C:10;P1:6;P2:5;P3:5,5.50,,receive,C
recv_commit_P2_01,P2,C:11;P1:5;P2:6;P3:5,5.60,,receive,C
recv_commit_P3_01,P3,C:12;P1:5;P2:5;P3:6,5.70,,receive,C
local_commit_P1_01,P1,C:10;P1:7;P2:5;P3:5,6.00,local_commit_P1,local,
local_commit_P2_01,P2,C:11;P1:5;P2:7;P3:5,6.10,local_commit_P2,local,
local_commit_P3_01,P3,C:12;P1:5;P2:5;P3:7,6.20,local_commit_P3,local,
ack_P1_01,P1,C:10;P1:8;P2:5;P3:5,6.50,,send,C
ack_P2_01,P2,C:11;P1:5;P2:8;P3:5,6.60,,send,C
ack_P3_01,P3,C:12;P1:5;P2:5;P3:8,6.70,,send,C
tx_done_01,C,C:13;P1:5;P2:5;P3:5,7.50,,local,
begin_tx_02,C,C:14;P1:5;P2:5;P3:5,9.00,,local,
prepare_P1_02,C,C:15;P1:5;P2:5;P3:5,9.10,,send,P1
prepare_P2_02,C,C:16;P1:5;P2:5;P3:5,9.20,,send,P2
prepare_P3_02,C,C:17;P1:5;P2:5;P3:5,9.30,,send,P3
recv_prep_P1_02,P1,C:15;P1:9;P2:5;P3:5,10.00,,receive,C
recv_prep_P2_02,P2,C:16;P1:5;P2:9;P3:5,10.10,,receive,C
recv_prep_P3_02,P3,C:17;P1:5;P2:5;P3:9,10.20,,receive,C
vote_yes_P2_02,P2,C:16;P1:5;P2:10;P3:5,10.50,vote_yes_P2,local,
vote_yes_P1_02,P1,C:15;P1:10;P2:5;P3:5,10.70,vote_yes_P1,local,
prepared_P1_02,P1,C:15;P1:11;P2:5;P3:5,10.75,prepared_P1,local,
prepared_P2_02,P2,C:16;P1:5;P2:11;P3:5,10.80,prepared_P2,local,
vote_yes_P3_02,P3,C:17;P1:5;P2:5;P3:10,11.00,vote_yes_P3,local,
prepared_P3_02,P3,C:17;P1:5;P2:5;P3:11,11.05,prepared_P3,local,
send_yes_P1_02,P1,C:15;P1:12;P2:5;P3:5,11.30,,send,C
send_yes_P2_02,P2,C:16;P1:5;P2:12;P3:5,11.40,,send,C
send_yes_P3_02,P3,C:17;P1:5;P2:5;P3:12,11.50,,send,C
recv_yes_P1_02,C,C:18;P1:8;P2:5;P3:5,12.00,,receive,P1
recv_yes_P2_02,C,C:19;P1:8;P2:8;P3:5,12.10,,receive,P2
