# Generated drone relative-velocity trace
# total_events: 100000
# drone_count: 6
# system_processes: Drone1|Drone2|Drone3|Drone4|Drone5|Drone6
eid,processes,vc,timestamp,props,event_type,msg_partner
d1_init,Drone1,Drone1:1;Drone2:0;Drone3:0;Drone4:0;Drone5:0;Drone6:0,0.0,stable,local,
d2_init,Drone2,Drone1:0;Drone2:1;Drone3:0;Drone4:0;Drone5:0;Drone6:0,0.0,stable,local,
d3_init,Drone3,Drone1:0;Drone2:0;Drone3:1;Drone4:0;Drone5:0;Drone6:0,0.0,stable,local,
d4_init,Drone4,Drone1:0;Drone2:0;Drone3:0;Drone4:1;Drone5:0;Drone6:0,0.0,stable,local,
d5_init,Drone5,Drone1:0;Drone2:0;Drone3:0;Drone4:0;Drone5:1;Drone6:0,0.0,stable,local,
d6_init,Drone6,Drone1:0;Drone2:0;Drone3:0;Drone4:0;Drone5:0;Drone6:1,0.0,stable,local,
d1_measure_01,Drone1,Drone1:2;Drone2:0;Drone3:0;Drone4:0;Drone5:0;Drone6:0,1.0,velocity_measured,local,
d1_send_d2_01,Drone1,Drone1:3;Drone2:0;Drone3:0;Drone4:0;Drone5:0;Drone6:0,1.2,velocity_sent,send,Drone2
d2_recv_d1_01,Drone2,Drone1:3;Drone2:2;Drone3:0;Drone4:0;Drone5:0;Drone6:0,2.0,processing,receive,Drone1
d2_compute_01,Drone2,Drone1:3;Drone2:3;Drone3:0;Drone4:0;Drone5:0;Drone6:0,2.5,relative_computed,local,
d2_send_d1_01,Drone2,Drone1:3;Drone2:4;Drone3:0;Drone4:0;Drone5:0;Drone6:0,3.0,relative_sent,send,Drone1
d1_recv_d2_01,Drone1,Drone1:4;Drone2:4;Drone3:0;Drone4:0;Drone5:0;Drone6:0,4.0,relative_confirmed,receive,Drone2
d1_send_d3_01,Drone1,Drone1:5;Drone2:4;Drone3:0;Drone4:0;Drone5:0;Drone6:0,5.2,velocity_sent,send,Drone3
d3_recv_d1_01,Drone3,Drone1:5;Drone2:4;Drone3:2;Drone4:0;Drone5:0;Drone6:0,6.0,processing,receive,Drone1
d3_compute_01,Drone3,Drone1:5;Drone2:4;Drone3:3;Drone4:0;Drone5:0;Drone6:0,6.5,relative_computed,local,
d3_send_d1_01,Drone3,Drone1:5;Drone2:4;Drone3:4;Drone4:0;Drone5:0;Drone6:0,7.0,relative_sent,send,Drone1
d1_recv_d3_01,Drone1,Drone1:6;Drone2:4;Drone3:4;Drone4:0;Drone5:0;Drone6:0,8.0,relative_confirmed,receive,Drone3
d1_send_d4_01,Drone1,Drone1:7;Drone2:4;Drone3:4;Drone4:0;Drone5:0;Drone6:0,9.2,velocity_sent,send,Drone4
d4_recv_d1_01,Drone4,Drone1:7;Drone2:4;Drone3:4;Drone4:2;Drone5:0;Drone6:0,10.0,processing,receive,Drone1
d4_compute_01,Drone4,Drone1:7;Drone2:4;Drone3:4;Drone4:3;Drone5:0;Drone6:0,10.5,relative_computed,local,
d4_send_d1_01,Drone4,Drone1:7;Drone2:4;Drone3:4;Drone4:4;Drone5:0;Drone6:0,11.0,relative_sent,send,Drone1
d1_recv_d4_01,Drone1,Drone1:8;Drone2:4;Drone3:4;Drone4:4;Drone5:0;Drone6:0,12.0,relative_confirmed,receive,Drone4
d1_send_d5_01,Drone1,Drone1:9;Drone2:4;Drone3:4;Drone4:4;Drone5:0;Drone6:0,13.2,velocity_sent,send,Drone5
d5_recv_d1_01,Drone5,Drone1:9;Drone2:4;Drone3:4;Drone4:4;Drone5:2;Drone6:0,14.0,processing,receive,Drone1
d5_compute_01,Drone5,Drone1:9;Drone2:4;Drone3:4;Drone4:4;Drone5:3;Drone6:0,14.5,relative_computed,local,
d5_send_d1_01,Drone5,Drone1:9;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:0,15.0,relative_sent,send,Drone1
d1_recv_d5_01,Drone1,Drone1:10;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:0,16.0,relative_confirmed,receive,Drone5
d1_send_d6_01,Drone1,Drone1:11;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:0,17.2,velocity_sent,send,Drone6
d6_recv_d1_01,Drone6,Drone1:11;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:2,18.0,processing,receive,Drone1
d6_compute_01,Drone6,Drone1:11;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:3,18.5,relative_computed,local,
d6_send_d1_01,Drone6,Drone1:11;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:4,19.0,relative_sent,send,Drone1
d1_recv_d6_01,Drone1,Drone1:12;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:4,20.0,relative_confirmed,receive,Drone6
